,latlon,count,lon,lat
248,"('-74.0108333', '41.5033333')",16,-74.0108333,41.5033333
249,"('-116.9422222', '43.7852778')",1,-116.9422222,43.7852778
250,"('-122.3222222', '47.3486111')",2,-122.3222222,47.3486111
251,"('-87.07125', '45.931352')",1,-87.07125,45.931352
252,"('-67.6155556', '44.5197222')",1,-67.6155556,44.5197222
253,"('-122.1758333', '48.0519444')",34,-122.1758333,48.0519444
254,"('-95.3088889', '34.9186111')",2,-95.3088889,34.9186111
255,"('-75.748778', '44.058048')",2,-75.748778,44.058048
256,"('-77.0766667', '39.0255556')",4,-77.0766667,39.0255556
257,"('-88.9488889', '42.2347222')",2,-88.9488889,42.2347222
258,"('-74.5838889', '40.1777778')",1,-74.5838889,40.1777778
259,"('-81.1541667', '32.1141667')",1,-81.1541667,32.1141667
260,"('-120.475', '35.0427778')",7,-120.475,35.0427778
261,"('-99.2647222', '39.4380556')",2,-99.2647222,39.4380556
262,"('-80.0944444', '26.9338889')",26,-80.0944444,26.9338889
263,"('-73.351164', '43.987374')",1,-73.351164,43.987374
264,"('-122.907881', '47.058936')",1,-122.907881,47.058936
265,"('-92.7438889', '35.1508333')",3,-92.7438889,35.1508333
266,"('-81.2708333', '33.3577778')",1,-81.2708333,33.3577778
267,"('-82.01', '30.8302778')",1,-82.01,30.8302778
268,"('-83.5688889', '41.7791667')",3,-83.5688889,41.7791667
269,"('-89.0938889', '42.2711111')",106,-89.0938889,42.2711111
270,"('-75.4763889', '39.0711111')",1,-75.4763889,39.0711111
271,"('-90.6897222', '30.0472222')",1,-90.6897222,30.0472222
272,"('-74.5627778', '40.0488889')",2,-74.5627778,40.0488889
273,"('-75.2825', '44.1811111')",1,-75.2825,44.1811111
274,"('-82.9552778', '37.3480556')",1,-82.9552778,37.3480556
275,"('-80.6941667', '40.8883333')",4,-80.6941667,40.8883333
276,"('-98.6683333', '33.9513889')",1,-98.6683333,33.9513889
277,"('-73.95', '41.0463889')",3,-73.95,41.0463889
278,"('-73.81838', '42.844668')",2,-73.81838,42.844668
279,"('-71.6008333', '43.0202778')",1,-71.6008333,43.0202778
280,"('-95.9555556', '38.3083333')",1,-95.9555556,38.3083333
281,"('-84.2697222', '36.0102778')",10,-84.2697222,36.0102778
282,"('-73.2136111', '41.4813889')",9,-73.2136111,41.4813889
283,"('-75.2241667', '41.8558333')",2,-75.2241667,41.8558333
284,"('-87.0655556', '36.5822222')",1,-87.0655556,36.5822222
285,"('-78.4747222', '36.0247222')",3,-78.4747222,36.0247222
286,"('-73.9058333', '40.7452778')",2,-73.9058333,40.7452778
287,"('-72.0122222', '43.6475')",1,-72.0122222,43.6475
288,"('-98.787944', '40.570592')",1,-98.787944,40.570592
289,"('-112.0638889', '41.0894444')",2,-112.0638889,41.0894444
290,"('-70.8302778', '42.9725')",2,-70.8302778,42.9725
291,"('-98.112822', '32.808461')",1,-98.112822,32.808461
292,"('-96.05733', '41.151958')",1,-96.05733,41.151958
293,"('-106.124591', '35.43752')",1,-106.124591,35.43752
294,"('-78.971141', '34.806553')",1,-78.971141,34.806553
295,"('-111.9452778', '45.2938889')",1,-111.9452778,45.2938889
296,"('-117.2347222', '37.7086111')",1,-117.2347222,37.7086111
297,"('-71.9486111', '42.3694444')",4,-71.9486111,42.3694444
298,"('-115.5133333', '33.1255556')",1,-115.5133333,33.1255556
299,"('-87.6772222', '34.7997222')",7,-87.6772222,34.7997222
300,"('-81.531193', '36.20022')",1,-81.531193,36.20022
301,"('-72.6666667', '40.8244444')",1,-72.6666667,40.8244444
302,"('-124.2827778', '42.0527778')",13,-124.2827778,42.0527778
303,"('-76.282396', '43.219518')",1,-76.282396,43.219518
304,"('-84.9702778', '34.7697222')",7,-84.9702778,34.7697222
305,"('-123.8991667', '44.4113889')",1,-123.8991667,44.4113889
306,"('-80.2936111', '25.7072222')",1,-80.2936111,25.7072222
307,"('-111.6541667', '40.115')",6,-111.6541667,40.115
308,"('-81.3361111', '39.7966667')",1,-81.3361111,39.7966667
309,"('-86.1663889', '34.2005556')",2,-86.1663889,34.2005556
310,"('-76.149389', '42.999411')",1,-76.149389,42.999411
